company_name,api_path,web_path,price,price_currency_code,price_usd,payment_type,acquisition_type,acquisition_status,disposition_of_acquired,announced_on,announced_on_trust_code,completed_on,completed_on_trust_code,created_at,updated_at
cloudflare,**acquisitions/35a5e3c8b3f0c4d0160f09d2d655735c**acquisitions/0c21828b05f93548f62fbd7fd6d5faa8,**acquisition/35a5e3c8b3f0c4d0160f09d2d655735c**acquisition/0c21828b05f93548f62fbd7fd6d5faa8,****,**USD**USD,****,****,****Acqui-hire,****Complete,****,**2014-02-24**2014-06-18,**7**7,****,****,**1393356047**1409955760,**1397995007**1410328881
tinder,**acquisitions/ac10f59a09cd8fee676a38f69ec5b201,**acquisition/ac10f59a09cd8fee676a38f69ec5b201,**,**USD,**,**,**Acquisition,**Complete,**Combined,**2015-01-12,**7,**,**,**1421105456,**1421105480
freshdesk,**acquisitions/77af7aa29912013e9a6234f2be6d0525**acquisitions/5199b9e57bade6b9d9ccf6103b1a2317**acquisitions/78b4b0dd62821d19e4979f9429887709,**acquisition/77af7aa29912013e9a6234f2be6d0525**acquisition/5199b9e57bade6b9d9ccf6103b1a2317**acquisition/78b4b0dd62821d19e4979f9429887709,******,**USD**USD**USD,******,******,**Acquisition**Acquisition**Acquisition,**Complete**Complete**Complete,"**Separate Entity**Separate Entity**",**2015-12-16**2015-10-01**2015-08-18,**7**7**7,******2015-08-18,******7,**1450334227**1443764784**1439900181,**1450334256**1443764852**1439900254
giphy,**acquisitions/97f6288014f70abf8f47163d40aca5d0,**acquisition/97f6288014f70abf8f47163d40aca5d0,**,**USD,**,**,**Acqui-hire,**,"**Separate Entity",**2015-03-19,**7,**,**,**1426822833,**1426822883
slack,**acquisitions/b7d5545b95fba3b2ba5a5a59a906ece7**acquisitions/50adf87fe8f124ec6a5f5794466198e3,**acquisition/b7d5545b95fba3b2ba5a5a59a906ece7**acquisition/50adf87fe8f124ec6a5f5794466198e3,****,**USD**USD,****,****cash_and_stock,**Acquisition**Acquisition,**Pending**Pending,"**Separate Entity**Combined",**2014-09-26**2015-01-28,**7**7,****,****,**1411961576**1422465003,**1429651076**1429651077
solarcity,**acquisitions/4a2e1854b87a02838e681d292a61d197**acquisitions/75759f17ae66b3a3b87ed3cbc12c5ef7**acquisitions/96c1eebaf54e3888cac046c01530fbd3**acquisitions/ac772dfcfb6b2dab49872857a582f27d**acquisitions/0a7ee2ceda5f182c5640d5c73f8469fc,**acquisition/4a2e1854b87a02838e681d292a61d197**acquisition/75759f17ae66b3a3b87ed3cbc12c5ef7**acquisition/96c1eebaf54e3888cac046c01530fbd3**acquisition/ac772dfcfb6b2dab49872857a582f27d**acquisition/0a7ee2ceda5f182c5640d5c73f8469fc,**120000000**158000000****200000000**10000000,**USD**USD**EUR**USD**USD,********200000000**10000000,****stock******cash,********Acquisition**Acquisition,********Pending**Pending,"********Separate Entity**",**2013-08-13**2013-10-09**2010-05-12**2014-06-17**2015-08-05,**7**7**7**7**7,**********,**********,**1376451233**1381324960**1273715694**1403059971**1438778938,**1397994957**1397995075**1397995172**1403059971**1438778967
unbounce,**acquisitions/57ea845ff4194519fb0efedd0ab1e87b,**acquisition/57ea845ff4194519fb0efedd0ab1e87b,**,**CAD,**,**,**Acquisition,**Complete,**,**2015-06-29,**7,**,**,**1451940669,**1451940669
viki,**acquisitions/7a9b2e5c296e940fef51a5ac88d46367,**acquisition/7a9b2e5c296e940fef51a5ac88d46367,**10000000,**USD,**10000000,**,**Acquisition,**Complete,**,**2015-08-20,**7,**,**,**1440073677,**1440073704
criteo,**acquisitions/8c94b18815adf04d898035984fb097b7**acquisitions/9335944be846b75dfe5c64db0cb2890d**acquisitions/7891ecf5c11f1b39a4c47d962589bc57,**acquisition/8c94b18815adf04d898035984fb097b7**acquisition/9335944be846b75dfe5c64db0cb2890d**acquisition/7891ecf5c11f1b39a4c47d962589bc57,**29000000****,**USD**USD**USD,******,******,******Acquisition,******Pending,"******Separate Entity",**2014-02-20**2014-04-11**2015-02-18,**7**7**7,******,******,**1392919398**1397239463**1424340283,**1397994994**1397995192**1424510292
myntra,**acquisitions/aaa4df640e07147b6d2627044aeddef2**acquisitions/f28d9d5cb1c803911cc950b704f1e2d2,**acquisition/aaa4df640e07147b6d2627044aeddef2**acquisition/f28d9d5cb1c803911cc950b704f1e2d2,****,**USD**USD,****,****,****,****,****,**2013-04-04**2012-11-09,**7**7,****,****,**1391194841**1352446650,**1397994932**1397995055
zomato,**acquisitions/758af93c3a07c5401914e0355ee930b1**acquisitions/9d9d776dfd94ee1170b45be05bf7e916**acquisitions/5769360ae7bd9834f1a47062e927847a**acquisitions/cc17dad246b75b1bdbe9a06481c0f426**acquisitions/445318c739e837a715d7e9b461f986c7**acquisitions/15ab119aa6c8795ef723b43664ead650**acquisitions/3f4574a62c58996d34bb00b4c5fafb46**acquisitions/7a7826572525a9a13deddf767bc9632a,**acquisition/758af93c3a07c5401914e0355ee930b1**acquisition/9d9d776dfd94ee1170b45be05bf7e916**acquisition/5769360ae7bd9834f1a47062e927847a**acquisition/cc17dad246b75b1bdbe9a06481c0f426**acquisition/445318c739e837a715d7e9b461f986c7**acquisition/15ab119aa6c8795ef723b43664ead650**acquisition/3f4574a62c58996d34bb00b4c5fafb46**acquisition/7a7826572525a9a13deddf767bc9632a,************55000000****,**USD**USD**USD**USD**USD**USD**USD**USD,************55000000****,**************cash**cash_and_stock,**Acquisition**Acquisition**Acquisition**Acquisition**Acqui-hire**Acquisition**Acquisition**Acquisition,**Complete**Pending**Pending**Pending******Complete**,"****Separate Entity**Separate Entity**Separate Entity**Separate Entity******",**2014-09-23**2014-08-22**2014-08-22**2014-07-01**2014-12-18**2015-01-12**2015-01-29**2015-04-22,**7**7**7**7**7**7**7**7,************2015-01-12**2015-01-29**,************7**7**,**1417404191**1408677443**1408677307**1404190670**1418957658**1421088848**1422521915**1429701633,**1417554471**1417554475**1417554478**1417554482**1418957699**1438103149**1423034929**1429701731
skift,**acquisitions/f1ca650c9a667feefe2799383a445285,**acquisition/f1ca650c9a667feefe2799383a445285,**,**USD,**,**,**Acquisition,**Pending,**Subsidiary,**2014-06-12,**7,**,**,**1402629669,**1402629669
zoosk,**acquisitions/c0e8369de236badfcb957bc797c80564,**acquisition/c0e8369de236badfcb957bc797c80564,**,**USD,**,**cash_and_stock,**,**,**,**2011-11-11,**7,**,**,**1320416565,**1397995118
