company_name,api_path,web_path,name,announced_on,announced_on_trust_code,money_raised,money_raised_currency_code,money_raised_usd,created_at,updated_at
slack,**funds/f0a326fa5435548b46965835c16ab416**funds/5336ebc023082f7cf7943abd252ded19,**fund/f0a326fa5435548b46965835c16ab416**fund/5336ebc023082f7cf7943abd252ded19,"**Slack Fund I**The Slack Fund I",**2015-12-15**2015-12-15,**7**7,**80000000**80000000,**USD**USD,**80000000**80000000,**1450278903**1450239566,**1450289648**1450289656
angellist,**funds/5b847301fb93c97dce7e50a52d7704b6**funds/55502d5668f60486f2a077ee8502ee52,**fund/5b847301fb93c97dce7e50a52d7704b6**fund/55502d5668f60486f2a077ee8502ee52,"**AngelList Syndicates Fund I**CSC Upshot",**2014-07-01**2015-10-12,**7**7,****400000000,**USD**USD,****400000000,**1446183796**1444640225,**1446183814**1444644354
