"Overall Rating",Website,Headquarters,Size,Founded,Type,Industry,Revenue,Competitors,overallRating,ceoRating,bizOutlook,recommend,compAndBenefits,cultureAndValues,careerOpportunities,workLife,seniorManagement,"1 Star","2 Stars","3 Stars","4 Stars","5 Stars"
3.4,"www.amazon.com ","Seattle, WA ","5000+ Employees "," 1994 "," Company - Public (AMZN)  "," Retail  "," $10+ billion (USD) per year "," Google, Apple, eBay ",3.362882,0.7970218,0.6497394,0.6158572,3.5193014,3.2094786,3.4022312,2.6536465,2.9225152,477,670,1188,1505,860
4.4,"www.google.com ","Mountain View, CA ","5000+ Employees "," 1998 "," Company - Public (GOOG)  "," Information Technology  "," $10+ billion (USD) per year "," Microsoft, Apple, Facebook ",4.3814673,-1.0,0.7670576,0.9057068,4.3794727,4.3546576,3.960802,3.9434218,3.8633678,49,73,286,814,1476
